Basins,silicates_TDS,silicates_Cation_sil,silicates_Ca+Mg_sil,silicates_CO2cons.,carbonates_TDS,carbonates_CO2cons.,evaporites_TDS,evaporites_CO2cons.,total_rock_weathering_10^6 t/yr,total_rock_weathering_t/km2/yr,total_rock_weathering_CO2cons.
Amazon,79.7,13.2,128,320,67.7,644,6,0,153,25,158
Changjiang,9.5,2.5,29,107,101,997,7,0,118,65,611
Mississippi,11.4,5.1,60,199,48.1,436,13,44,72,24,228
Irrawady,29.5,17.1,165,832,2.6,24,19,67,51,125,2250
Ganges,14.7,8.3,130,471,24.4,236,5,19,44,42,692
Yenisei,9.7,3.2,30,169,22.1,207,8,0,40,16,145
Mackenzie,3.2,1.6,19,61,26.7,242,5,11,35,19,176
St. Lawrence,1.9,0.8,9,28,26.5,251,5,17,33,33,290
Lena,5.4,1.7,19,86,20.5,187,9,0,35,14,110
Xijiang,4,0.7,9,24,30.2,283,2,6,36,82,715
Ob,2.4,1,11,57,21.9,217,5,26,30,10,100
Brahmaputra,6,1.5,19,87,20.5,199,0,0,27,46,493
Parana,13.9,3.4,69,263,4.2,51,7,31,26,9,124
Mekong,11.4,4.9,57,194,44.3,409,17,65,72,91,839
Congo-Zaire,15.6,3.1,34,201,6.2,51,1,0,22,6,68
Rhine,0.7,0.3,5,14,10.3,108,1,0,12,53,542
Yukon,2.7,0.9,13,29,17.3,164,0,0,20,24,227
Orinoco,10.5,2.5,29,76,6,55,0,0,16,15,119
Magdalena,3.6,0.5,7,15,8.7,82,7,33,19,81,554
Columbia,4.6,1.9,30,61,9.8,90,1,5,16,23,233
Indus,3.5,1.6,19,54,6.6,59,6,21,16,18,146
Don,6,4.4,55,48,2.6,23,0,0,9,20,169
Nelson,1.4,0.9,10,43,7.2,65,4,15,12,11,109
N. Dvina,0.7,0.3,4,9,8,69,1,3,10,28,232
Amur,2.2,1.1,13,33,7.2,64,1,3,10,6,54
Huanghe,2.6,1.6,19,62,3.5,30,5,17,11,15,144
Rhone,0.4,0.1,1.4,4.7,8.4,74,2,3,10,109,856
Shatt el Arab,2,1.2,14,37,5.7,49,0,0,8,14,157
Hong He,3.3,1.5,17,82,3.8,36,2,10,9,78,1062
Po,1,0.6,7,16,6.6,58,1,4,9,126,1119
Fly,2.4,0.9,17,49,6.7,66,0,0,9,149,1884
Tocantins,5.7,1,11,87,1.6,15,0,0,7,10,135
Dnepr,0.9,0.5,6,21,5.9,55,0,0,7,13,150
Sepik,3,1.2,22,72,3.8,36,0,0,7,87,1378
Nile,2.9,1.8,21,64,1.2,11,0,0,4,1,26
Narmada,3.5,2.3,29,95,0.8,9.5,0,0,4,43,1026
Murray Darling,1,0.6,9,25,0.6,5.6,0,0,2,2,29
Purari,2,0.7,12,37,3.8,37,0,0,6,189,2428
Fraser,1.1,0.3,4,9.4,4.7,42,0,1,6,27,238
Kolima,0.9,0.3,3,29,3.2,27,1,2,5,7,88
Krishna,2.1,1.4,18,41,1.2,11,0,0,3,13,197
Pechora,0.4,0.1,2,5.8,3.8,37,1,4,5,16,144
Niger,2.7,0.4,4.2,35.5,2.5,25,0,0,5,4,50
Uruguay,3.2,0.9,18,38.9,1.2,11,0,1,5,20,212
Kuskokwin,0.8,0.2,4,12.3,3.9,38,0,0,5,38,408
Cauveri,2.4,1.5,18,56,0.3,2.4,0,0,3,31,665
Zambese,2.2,0.4,4.5,9.2,2.7,22,0,0,5,4,24
Khatanga,0.8,0.4,4.2,15.4,2.3,21,2,9,5,15,126
Seine,0.1,0.06,0.5,1,2.6,17,0,0,3,34,226
Kikori,0.4,0.1,1.1,2.5,4.1,41,0,0,4,338,3265
Limpopo,1.4,0.7,8,42.4,1.1,9.5,0,0,3,6,118
World average,550,200,2500,8700,1290,12300,290,900,2131,24,246
